date,AB,BC,MB,NB,NL,NS,ON,PE,QC,SK
2017,0.0,11.9606,2.8619,2.1546,0.0,2.9813,39.3276,0.3658,23.2741,2.7736
2018,0.0,11.4389,2.7322,2.0737,0.0,2.8058,40.422,0.3808,23.5007,2.6531
2019,0.0,11.0675,2.6579,2.0998,0.0,2.7686,41.2053,0.3695,23.7171,2.5537
2020,0.0,11.4945,2.8867,2.2108,0.0,2.7173,38.8553,0.3564,24.8,2.9017
2021,0.0,12.2161,2.8268,2.2274,0.0,2.7949,38.0898,0.5001,25.1236,2.7217
2022,0.0,11.8467,2.7265,2.1607,0.0,2.47,39.29,0.362,24.6578,2.8346
2023,0.0,12.0326,2.6308,2.0777,0.0,2.4758,39.4753,0.3812,24.2316,2.7658
2024,11.6471,11.1777,3.0121,2.2963,1.7368,2.5664,39.8357,0.443,24.6397,2.6453
2025,11.928,10.9667,3.2016,2.4201,1.8596,2.8197,40.1838,0.4576,23.3371,2.8258
2026,12.9747,12.348,3.8596,2.4367,1.6003,2.5504,38.4093,0.4947,22.3581,2.9681
