date,AB,BC,MB,NB,NL,NS,ON,PE,QC,SK,period_type
2017-01-01,,1.3688,0.0791,0.0593,,0.0589,0.7847,0.0,1.3696,0.0618,quarterly
2017-04-01,,1.0709,0.0951,0.0498,,0.0462,0.8927,0.0,1.3695,0.0446,quarterly
2017-07-01,,1.2747,0.1014,0.0499,,0.0428,0.9693,0.0489,1.6288,0.0597,quarterly
2017-10-01,,1.5168,0.0918,0.0852,,0.0646,1.4706,0.3613,2.2797,0.0547,quarterly
2018-01-01,,2.7362,0.1306,0.1325,,0.1393,1.6609,0.3676,2.8091,0.0963,quarterly
2018-04-01,,3.6206,0.3172,0.1194,,0.0713,2.8969,0.202,3.4652,0.1588,quarterly
2018-07-01,,4.1048,0.2627,0.0773,,0.147,2.3668,0.2034,3.5763,0.161,quarterly
2018-10-01,,4.2268,0.4657,0.2508,,0.2682,1.0807,0.0813,5.6525,0.2503,quarterly
2019-01-01,,5.9002,0.2382,0.1593,,0.1741,0.7949,0.5106,4.4613,0.2242,quarterly
2019-04-01,,10.0428,0.6652,0.4387,,0.2544,1.2904,0.4683,6.4346,0.3516,quarterly
2019-07-01,,7.8584,0.67,0.5061,,0.361,1.434,0.6912,6.1484,0.3777,quarterly
2019-10-01,,7.1389,0.5889,0.4609,,0.4001,1.2331,0.7618,6.0407,0.4733,quarterly
2020-01-01,,9.2851,0.6639,0.5487,,0.5214,1.2309,0.675,7.8121,0.4403,quarterly
2020-04-01,,7.275,0.6927,0.4323,,0.5049,1.6127,0.4545,5.5669,0.3608,quarterly
2020-07-01,,8.4031,0.7261,0.5777,,0.4917,1.7983,1.0874,6.5152,0.5443,quarterly
2020-10-01,,9.0332,0.7023,0.5209,,0.8167,2.259,0.6757,7.5294,0.3818,quarterly
2021-01-01,,12.2318,0.8544,0.8265,,0.9066,2.3706,1.137,8.0847,0.9045,quarterly
2021-04-01,,9.8953,1.193,1.0474,,1.3079,2.8571,0.7943,9.0221,0.7978,quarterly
2021-07-01,,12.0863,1.5638,1.8191,,1.4631,2.961,3.5887,9.5519,1.1461,quarterly
2021-10-01,,13.9718,1.9365,1.4459,,1.7616,4.6919,3.1805,8.9278,1.5343,quarterly
2022-01-01,,15.7513,2.2584,2.2836,,1.995,5.2716,4.3945,12.7242,1.523,quarterly
2022-04-01,,14.0184,1.9473,2.0932,,1.8656,5.6333,2.806,10.4655,1.4331,quarterly
2022-07-01,,17.8765,2.9854,2.972,,3.044,7.1616,5.2367,12.4753,1.82,quarterly
2022-10-01,,18.8522,3.0186,3.2657,,3.4938,8.0616,3.974,13.9233,1.8421,quarterly
2023-01-01,,18.3991,2.7252,3.0492,,3.7086,5.9324,5.9608,14.7927,1.7327,quarterly
2023-04-01,,19.0121,3.2274,4.5759,,3.7043,6.9681,6.383,17.2148,2.2624,quarterly
2023-07-01,,24.1897,4.3825,5.8688,,5.2421,8.2365,9.364,21.5323,2.933,quarterly
2023-10-01,,22.2897,3.5909,5.7358,,5.6861,8.242,8.724,22.2989,2.1018,quarterly
2024-01-01,2.4789,17.8694,3.0363,4.1621,2.1421,4.7493,5.1986,7.0909,18.4906,1.9042,monthly
2024-02-01,3.3674,18.9982,2.7568,4.2981,2.6463,5.935,5.8387,7.6152,21.9014,1.9981,monthly
2024-03-01,4.1134,22.4945,3.4999,4.7192,2.0072,6.0268,7.8251,6.0393,25.9997,2.8156,monthly
2024-04-01,3.6671,18.8145,4.7135,5.7468,2.7206,5.8824,6.4972,7.2727,24.8951,1.8702,monthly
2024-05-01,3.5775,18.8985,4.0171,5.5164,2.63,5.5253,6.9552,7.8759,26.1382,2.1828,monthly
2024-06-01,4.0581,22.4694,5.5922,6.3836,2.3029,6.09,6.9204,8.4746,28.3668,2.5761,monthly
2024-07-01,3.6849,18.383,5.1091,6.0687,2.3121,5.2477,6.2455,8.8202,28.9841,2.7027,monthly
2024-08-01,4.1455,22.1197,4.2413,5.9701,2.4067,6.1333,6.5068,7.7792,32.2541,2.4028,monthly
2024-09-01,6.1879,27.3113,6.7721,6.3275,2.6829,9.375,11.3314,8.9013,36.6578,3.0098,monthly
2024-10-01,4.1416,17.1491,6.267,7.1317,2.8112,6.9724,7.7391,9.2348,34.4032,2.9508,monthly
2024-11-01,5.4421,22.066,6.7831,6.6321,3.4818,7.3743,8.2295,7.402,36.8669,3.2431,monthly
2024-12-01,5.2484,20.756,5.3232,5.0429,3.2,9.457,9.1345,6.7682,44.4392,2.486,monthly
2025-01-01,4.444,19.7159,6.5738,9.1931,2.9064,8.2318,8.1583,11.4688,22.4037,2.7404,monthly
2025-02-01,3.0692,16.7406,3.3769,4.2838,1.9743,3.8908,5.9591,4.7285,7.9194,1.3158,monthly
2025-03-01,2.8725,14.1172,3.3644,5.465,1.8995,4.0695,5.4277,5.3228,8.7867,1.971,monthly
2025-04-01,2.8671,12.7888,3.3909,3.5722,1.3853,3.1372,4.8512,5.4645,14.3412,1.5045,monthly
2025-05-01,2.8541,13.7443,4.046,5.0767,1.561,3.5272,5.0933,5.2973,15.0752,1.8212,monthly
2025-06-01,3.1346,13.234,3.6853,8.0815,1.8294,3.8954,5.1605,4.0107,15.4204,2.0189,monthly
2025-07-01,2.4222,13.0748,3.8826,2.8277,1.4176,3.3085,4.448,5.3224,16.5634,1.9188,monthly
2025-08-01,2.9747,14.9869,3.5214,3.4549,2.1578,4.414,5.1042,5.5687,17.8952,1.7562,monthly
2025-09-01,3.2943,16.2851,4.6289,3.8923,2.0159,5.4303,7.5066,6.6378,18.3964,2.6058,monthly
2025-10-01,3.3244,14.5207,4.0367,3.1381,2.3484,4.3175,5.6733,4.578,17.2462,1.6677,monthly
2025-11-01,5.3472,19.9798,4.2549,3.2468,2.0851,4.2948,5.3528,5.8824,17.4964,2.0535,monthly
2025-12-01,5.3147,25.3779,5.2815,3.3829,2.2478,6.8314,8.8119,5.292,20.4763,2.3123,monthly
2026-01-01,3.6376,13.6042,3.7138,3.3357,1.9115,4.5236,6.2509,3.8869,12.0988,2.2379,monthly
